id;feedback;start;stop
1;0;1628420715;1628420717
2;0;1628420717;1628420720
3;0;1628420720;1628420724
4;0;1628420724;1628420725
5;0;1628420725;1628420726
6;0;1628420726;1628420727
7;0;1628420727;1628420728
8;0;1628420728;1628420730
9;0;1628420730;1628420731
10;0;1628420731;1628420732
11;0;1628420732;1628420734
12;0;1628420734;1628420735
13;0;1628420735;1628420736
14;0;1628420736;1628420738
15;0;1628420738;1628420739
16;0;1628420739;1628420740
17;0;1628420740;1628420742
18;0;1628420742;1628420743
19;0;1628420743;1628420745
20;0;1628420745;1628420748
